8100154;Gaflenz;;;;;
8100155;Ebensee;;;;;
8100156;Kleinreifling;;;;;
8100157;Bad Ischl;;;;;
8100158;Hieflau;;;;;
8100159;Gstatterboden im Nationalpark;;;;;
8100160;Bad Goisern;;;;;
8100161;Admont;;;;;
8100162;Steeg-Gosau;;;;;
8100163;Obertraun Dachsteinhöhlen;;;;;
8100164;Bad Aussee;;;;;
8100165;Bad Mitterndorf;;;;;
8100166;Tauplitz;;;;;
8100167;Rohr-Bad Hall;;;;;
8100169;Kremsmünster;;;;;
8100170;Kirchdorf/Krems;;;;;
8100171;Klaus/Pyhrnbahn;;;;;
8100172;Hinterstoder;;;;;
8100173;Graz Hbf;;;;;
8100174;Bad Gleichenberg;;;;;
8100175;Feldbach/Raab;;;;;
8100176;Fehring;;;;;
8100177;Fürstenfeld;;;;;
8100178;Bierbaum/Safen;;;;;
8100179;Sebersdorf;;;;;
8100180;Hartberg;;;;;
8100181;St.Johann in der Haide;;;;;
8100182;Grafendorf b.Hartberg;;;;;
8100183;Rohrbach-Vorau;;;;;
8100185;Friedberg in Stmk;;;;;
8100186;Pinggau Markt;;;;;
8100187;Tauchen-Schaueregg;;;;;
8100188;Aspang Markt;;;;;
8100189;Edlitz-Grimmenstein;;;;;
8100190;Seebenstein;;;;;
8100191;Pitten;;;;;
8100192;Bad Erlach;;;;;
8100193;Raaba;;;;;
8100194;Laßnitzhöhe;;;;;
8100195;Gleisdorf;;;;;
8100196;Studenzen-Fladnitz;;;;;
8100197;Feldkirch;;;;;
8100198;Bruck/Leitha;;;;;
8100199;Schwarzenau im Waldviertel;;;;;
8100200;Göpfritz an der Wild;;;;;
8100201;Eggenburg;;;;;
8100202;Absdorf-Hippersdorf;;;;;
8100203;Tulln/Donau;;;;;
8100204;Abfaltersbach/Drau;;;;;
8100205;Achau;;;;;
8100206;Aggsbach-Markt;;;;;
8100208;Aigen-Schlägl;;;;;
8100209;Alkoven;;;;;
8100210;Allentsteig;;;;;
8100211;Andorf;;;;;
8100212;Annaberg NÖ;;;;;
8100213;Annenheim;;;;;
8100214;Anthering;;;;;
8100215;Antiesenhofen;;;;;
8100216;Baumgarten im Bgld;;;;;
8100217;Bürmoos;;;;;
8100219;Donnerskirchen;;;;;
8100220;Draßburg;;;;;
8100221;Drösing;;;;;
8100222;Drosendorf;;;;;
8100224;Dürnstein-Oberloiben;;;;;
8100225;Ebenfurth;;;;;
8100226;Ebreichsdorf;;;;;
8100227;Eferding;;;;;
8100229;Eis-Ruden;;;;;
8100231;Eisenstadt;;;;;
8100232;Emmersdorf/Donau;;;;;
8100234;Erlaufklause;;;;;
8100235;Fischamend;;;;;
8100236;Wien Floridsdorf;;;;;
8100237;Frantschach-St.Gertraud;;;;;
8100238;Frauenkirchen;;;;;
8100239;Freistadt;;;;;
8100241;Friedburg;;;;;
8100242;Fügen-Hart im Zillertal;;;;;
8100243;Fürth-Kaprun;;;;;
8100244;Furth-Göttweig;;;;;
8100245;Gänserndorf;;;;;
8100246;Gaisbach-Wartberg;;;;;
8100247;Gars-Thunau;;;;;
8100248;Garsten;;;;;
8100249;Wien Gersthof;;;;;
8100252;Gösing an der Mariazeller Bahn;;;;;
8100254;Götzendorf/Leitha;;;;;
8100255;Gols;;;;;
8100256;Grafenstein;;;;;
8100257;Greifenstein-Altenberg;;;;;
8100258;Gries am Brenner;;;;;
8100259;Schwechat;;;;;
8100261;Grünau im Almtal;;;;;
8100262;Gstadt b.Waidhofen;;;;;
8100263;Gurten OÖ;;;;;
8100264;Hadersdorf/Kamp;;;;;
8100265;Haiding;;;;;
8100266;Hainburg/Donau Personenbahnhof;;;;;
8100267;Hard-Fußach;;;;;
8100268;Hatzendorf;;;;;
8100269;Wien Heiligenstadt;;;;;
8100270;Hermagor;;;;;
8100271;Wien Hernals;;;;;
8100272;Herzogenburg;;;;;
8100273;Hötzelsdorf-Geras;;;;;
8100274;Hollabrunn;;;;;
8100275;Hollersbach im Pinzgau;;;;;
8100276;Holzleithen am Hausruck;;;;;
8100277;Horn NÖ;;;;;
8100280;Jois;;;;;
8100281;Kaltenbach-Stumm im Zillertal;;;;;
8100282;Kaltenbrunnen im Montafon;;;;;
8100283;Kammer-Schörfling;;;;;
8100284;Katzelsdorf/Leitha;;;;;
8100285;Gleisdorf West;;;;;
8100287;Kirchbach im Gailtal;;;;;
8100288;Kirchberg am Wagram;;;;;
8100289;Kirchberg/Pielach;;;;;
8100290;Kirchbichl in Tirol;;;;;
8100292;Kötschach-Mauthen;;;;;
8100293;Korneuburg;;;;;
8100295;Krems/Donau;;;;;
8100296;Krimml;;;;;
8100297;Wien Krottenbachstraße;;;;;
8100298;Lamprechtshausen;;;;;
8100299;Langenlois;;;;;
8100300;Langkampfen;;;;;
8100301;Laubenbachmühle;;;;;
8100302;Lauterach;;;;;
8100305;Liebenfels;;;;;
8100306;Spital am Pyhrn;;;;;
8100307;Spitz/Donau;;;;;
8100308;Stadl-Paura;;;;;
8100309;Stadt Rottenmann;;;;;
8100310;Stans b.Schwaz;;;;;
8100311;Statzendorf;;;;;
8100313;Strass im Zillertal;;;;;
8100314;Stuhlfelden;;;;;
8100315;Suben;;;;;
8100316;Summerau;;;;;
8100317;Tainach-Stein;;;;;
8100318;Takern-St.Margarethen;;;;;
8100319;Tamsweg;;;;;
