"Verkehrsstation","BST Code"
"Goisern Jodschwefelbad","Gj"
"Göllersdorf","Gr"
"Golling-Abtenau","Gg"
"Göpfritz","Gf"
"Gopperding","Ant H3"
"Görtschach-Förolach","Ssv H1"
"Gosdorf","Gof"
"Götzendorf","Goe"
"Götzis","Got"
"Grafendorf","Gd"
"Grafenstein","Gra"
"Gramatneusiedl","Gn"
"Granitztal","Spa H2"
"Gratwein-Gratkorn","Gw"
"Graz Don Bosco","Gdb"
"Graz Hbf","G"
"Graz Liebenau-Murpark","Gob H1"
"Graz Ostbf-Messe","Gob"
"Graz Puntigam","Pu"
"Greifenburg-Weißensee","Gre"
"Greifenstein-Altenberg","Kz  H2"
"Grein Stadt","Ges"
"Grein-Bad Kreuzen","Gbk"
"Greinsfurth","Ams H1U"
"Gries","Sti K1"
"Gries im Pinzgau","Ta  H1"
"Grieskirchen-Gallspach","Gk"
"Grieswirt","Hch H3"
"Gröbming","Grb"
"Groß Sierning","Sie"
"Groß Weikersdorf","Wk"
"Großendorf","Gdf"
"Großraming","Rei H2"
"Grünau im Almtal","Gue"
"Grünbach am Schneeberg","Gru"
"Grünbach Kohlenwerk","Gru H2"
"Grünbach Schule","Gru H1"
"Gstatterboden im Nationalpark","Gb"
"Gumpoldskirchen","Md  H2"
"Gunskirchen","Gun"
"Guntersdorf","Gud"
"Guntramsdorf-Kaiserau Haltestelle","Guk H1"
"Guntramsdorf-Thallern","Md  H1"
"Gurten","Gur"
"Gutenstein","Gt"
"Hadersdorf am Kamp","Hfa"
"Hagenau im Innkreis","Mig H1"
"Haiding","Had"
"Haiming","Siz H1"
"Hainburg a.d.Donau Kulturfabrik","Hai"
"Hainburg a.d.Donau Personenbf","Hai H1"
"Hainburg a.d.Donau Ungartor","Hai H2"
"Hainfeld","Hn"
"Halbenrain","Hal"
"Hall in Tirol","H"
"Hallein","Hl"
"Hallein Burgfried","Hl  H1A"
"Hallstatt","Oa  H1"
"Hall-Thaur","H   H1"
"Hallwang-Elixhausen","Hw"
"Handelskai","Nw  H2"
"Handelskai","Hak"
"Hard-Fussach","Hfu"
"Hart bei Graz","Mes H2"
"Hart im Innkreis","Mn  H1"
"Hartberg","Har"
"Haselstauden","Do  H1"
"Haslach","Hah"
"Haslau an der Donau","Hlu"
"Hatlerdorf","Hos H1"
"Hatting","Zl  H2"
"Hatzendorf","Sou H2"
"Haus","Hau"
"Hausleiten","Hui"
"Hausruck","Otg H3"
"Hautzendorf","Snb H1"
"Heinfels","Sil H1H"
"Heiterwang-Plansee","Bch H2H"
"Helmahof","Wg  H1"
"Hengsberg","Hen"
"Hennersdorf","Hnd"
"Hermagor","Her"
"Hernals","Hns"
"Herzogenburg","Ho"
"Herzogenburg Stadt","Tra H2"
"Herzogenburg-Wielandsthal","Stf H1"
"Herzograd","Sv  H1E"
"Hetzmannsdorf-Wullersdorf","Hm"
"Hieflau","Hi"
"Hilm-Kematen","Hk"
"Himberg","Him"
"Hinterstoder","Hst"
"Hirschbach","Vit H1"
"Hirtenberg","Ez  H1"
"Höbersdorf","Si  H1"
"Hochfilzen","Hch"
"Hochzirl","Hol"
"Höflein a.d.Donau","Kz  H1"
"Hofstatt","Hu  H3"
"Hohenau","Nh"
"Hohenbrugg a.d.Raab","Feg H1"
"Hohenems","Hos"
"Hollabrunn","Oh"
"Holzleithen","Otg H2"
"Hopfgarten","Hp"
"Hopfgarten Berglift","Kit H3"
"Hörersdorf","Mb  H3"
"Horn","Hna"
"Hörsching","Hoe"
"Hötzelsdorf-Geras","Hgr"
"Hüttau Ort","Hue H1"
"Hüttau Terminal","Hue"
"Iglmühle","Nef H2"
"Imsterberg","Im  H1"
"Imst-Pitztal","Im"
"Innsbruck Hbf","I"
"Innsbruck Hötting","Ih"
"Innsbruck Messe","H   H3"
"Innsbruck Westbf","Wt"
"Inzing","Zl  H1"
"Irnfritz","Irn"
"Irschen","Od  H1"
"Jedenspeigen","Due H1"
"Jedlersdorf","J"
"Jenbach","Jb"
"Jennersdorf","Jd"
"Johnsbach im Nationalpark","Gb  H1"
"Jois","Pur H3H"
"Judenburg","Jg"
"Judendorf-Straßengel","Gw  H1"
"Kaindorf a.d.Sulm","Wi  H2"
"Kainisch","Kai"
"Kaiserebersdorf","Kls"
"Kalsdorf","Kal"
"Kalwang","Kag"
"Kamegg","Hna H3"
"Kammern","Sei H1"
"Kammer-Schörfling","Kms"
