"Verkehrsstation","BST Code"
"Tauplitz","Ku"
"Taxenbach-Rauris","Ta"
"Teesdorf","Tat H1"
"Teichstätt","Nst H3H"
"Telfs-Pfaffenhofen","Ts"
"Tenneck","Gg  K2"
"Terfens-Weer","Sw  H2"
"Ternberg","Te"
"Ternitz","Tn"
"Thal","Tl"
"Thalheim-Pöls","Tel"
"Theresienfeld","Fld H1"
"Thörl-Maglern","Th"
"Tiffen","Fel H1"
"Timelkam","Tm"
"Tisis","To  H1"
"Töschling","Pow H1"
"Traisen","Trn"
"Traisen Markt","Lil H2"
"Traiskirchen Aspangbahn","Ti"
"Traismauer","Tra"
"Trasdorf","Mos H1"
"Trattenbach","Te  H1"
"Traun","T"
"Traunkirchen","Tk"
"Traunkirchen Ort","En  H2"
"Trautmannsdorf a.d.L.","Goe H1A"
"Traxenbichl","Tx"
"Treibach-Althofen","Tr"
"Trieben","Tb"
"Trumau","Ti  K1"
"Tulln an der Donau","Tu"
"Tulln Stadt","Tus"
"Tullnerbach-Pressbaum","Pm"
"Tullnerfeld","Tfd"
"Übersbach","Fue H1"
"Ulmerfeld-Hausmening","Ul"
"Ulrichsbrücke-Füssen","Rt  H3"
"Ulrichskirchen","Wol H1"
"Unter Höflein","Wil H1"
"Unter Oberndorf","Hu  H1"
"Unter Purkersdorf","Up"
"Unter Radlberg","Hor"
"Unter Tullnerbach","Up  H2"
"Unterberg-Stefansbrücke","I   H1"
"Untereggendorf","Ef  H1"
"Unterhart","Uh"
"Unterkritzendorf","Ken H2"
"Unterretzbach","R   H1H"
"Untersiebenbrunn","Sbl H1"
"Unzmarkt","Um"
"Urschendorf","Wz  H1"
"Uttendorf-Helpfau","Mho H2"
"Velden am Wörthersee","Vel"
"Vellach-Khünburg","Ssv H3"
"Viechtwang","Viw"
"Viehofen","Vn"
"Vienna Biocenter-St.Marx","Nw  H1H"
"Villach Hbf","Vb"
"Villach Hbf-Autoverladestelle","Vba"
"Villach Landskron","Ru  H1"
"Villach Seebach","Foe H1"
"Villach St.Ruprecht","Ru"
"Villach Warmbad","Vf  H1"
"Villach Westbf","Vf"
"Vils Stadt","Vi  H1A"
"Vitis","Vit"
"Vöcklabruck","Vk"
"Vöcklamarkt","Vm"
"Voitsdorf","Voi"
"Volders-Baumkirchen","Fw  H1"
"Völkermarkt-Kühnsdorf","Vok"
"Völs","Vl"
"Wagram-Grafenegg","Fs  H1"
"Waidhofen a.d.Ybbs","Wh"
"Wald am Schoberpaß","Was"
"Waldegg","Wag"
"Waldegg-Dürnbach","Wag H1"
"Walding","Ott H1"
"Wallersee","Nst H2"
"Wampersdorf","Wp"
"Wankham","Ak  H1"
"Wartberg a.d.Krems","Wak"
"Wartberg im Mürztal","War"
"Weikendorf-Dörfles","Gae H1"
"Weissenbach-Neuhaus","Web"
"Weißenbach-St.Gallen","Weg"
"Weissenstein-Kellerberg","Pf  H2"
"Weitersfeld a.d.Mur","Wem"
"Weitlanbrunn","Sc  H3"
"Weizelsdorf","Wef"
"Wels Hbf","We"
"Wels Lokalbahn","Wl"
"Wels Messe","Wl  H1"
"Wendling","Neu H1P"
"Werfen","Rf"
"Werndorf","Wr"
"Wernstein","Sch H1"
"Westendorf","Kit K1"
"Wettmannstätten","Wtt"
"Weyer","Wey"
"Wiederndorf-Aich","Wia"
"Wien Aspern Nord","Sty"
"Wien Atzgersdorf","Lga"
"Wien Blumental","Id"
"Wien Breitensee","Ok  H1"
"Wien Brünner Straße","Bse"
"Wien Erzherzog Karl-Straße","Stk"
"Wien Floridsdorf","F"
"Wien Franz-Josefs-Bf","Wf"
"Wien Grillgasse","Sg"
"Wien Hadersdorf","Hf  H2"
"Wien Haidestraße","Wbf H2"
"Wien Hauptbahnhof","Wbf"
"Wien Hauptbahnhof Südtiroler Platz","Wsp"
"Wien Heiligenstadt","Ht"
"Wien Hetzendorf","Het"
"Wien Hirschstetten","Stc"
"Wien Hütteldorf","Hf"
"Wien Matzleinsdorfer Platz","Wbf H1S"
"Wien Meidling","Mi"
"Wien Mitte","Hz"
"Wien Mitte - CAT","Cat"
"Wien Oberdöbling","Ht  H1"
"Wien Penzing","Pz"
"Wien Praterkai","El  H1"
"Wien Praterstern","Nw"
"Wien Quartier Belvedere","Wwb"
"Wien Simmering","Wbf H1"
"Wien Speising","Hf  H1A"
"Wien Spittelau","Wf  H1"
"Wien Stadlau","El  H3"
"Wien Strebersdorf","Sdf"
"Wien Süßenbrunn","Sue"
"Wien Traisengasse","Nw  H1"
"Wien Weidlingau","Hf  H3"
"Wien Westbf","Ws"
"Wien Wolf in der Au","Hf  H1"
"Wiener Neustadt Anemonensee","Nb  H1A"
"Wiener Neustadt Civitas Nova","Ed  H1"
"Wiener Neustadt Hbf","Nb"
"Wiener Neustadt Nord","Fld H2"
"Wieselburg a.d.Erlauf","Wie"
"Wiesenfeld-Schwarzenbach","Ror H3"
"Wiesen-Sigleß","Sau H1"
"Wiesmühle","Gdf H1"
"Wildon","Wi"
"Wildungsmauer","Reg H1"
"Wilfleinsdorf","Goe H2"
"Wilfling","Voi H2"
"Wilhelmsburg a.d.Traisen","Wm"
"Willendorf","Wil"
"Windau","Kit H2"
"Winden","Pur H2H"
"Windischgarsten","Win"
"Winzendorf","Wz"
"Wittmannsdorf","Wit"
"Wolfsberg","Wog"
"Wolfsberg Reding","Wog H1"
"Wolfsbergkogel","Bt  H1"
"Wolfshütte","At  H2"
"Wolfsthal","Wof"
"Wolfurt","Wo"
"Wolkersdorf","Wol"
"Wöllersdorf","Woe"
"Wöllersdorf Marchgraben","Woe H1A"
"Wopfing","Op  H1"
"Wörgl Hbf","W"
"Wörgl Kundl","Kn"
"Wörgl Süd - Bruckhäusl","Hp  H1"
"Wörschach Schwefelbad","Ln  H1"
"Wulkaprodersdorf Haltestelle","Wul H1H"
"Ybbs a.d.Donau","Y"
"Zeiselmauer-Königstetten","Aw  H1"
"Zell a.d.Pram","Ri  H1"
"Zell am See","Z"
"Zellerndorf","Zd"
"Zeltweg","Zg"
"Zentralfriedhof","Cf"
"Ziersdorf","Zf"
"Zirl","Zl"
"Zöbing","Sbk H1"
"Zurndorf","Zu"
