Verkehrsstation	BST Code	BST ID	Produktnummer 2026	Anmerkung	Bundesland (inkl. Liechtenstein)
Brunn a.d.Pitten	Ela H1	360	3.d		Niederösterreich
Brunn an der Schneebergbahn	Fib H1	441	3.d		Niederösterreich
Brunn-Maria Enzersdorf	Bu	252	3.c		Niederösterreich
Buchberg	Gas H1	555	3.d	Ab Netzfahrplanperiode 2027 wird die Station voraussichtlich nicht mehr angeboten.	Niederösterreich
Dechantskirchen	Fd  H1H	415	3.d		Steiermark
Dellach im Drautal	De	272	3.d		Kärnten
Deutsch Wagram	Wg	2447	3.c		Niederösterreich
Deutschkreutz	Dk	278	3.d		Burgenland
Deutschlandsberg Stadt	Dlb	281	3.c		Steiermark
Dietmannsdorf	Bgl H1	158	3.d		Steiermark
Dietrichshofen	Ant H1	69	3.d		Oberösterreich
Dölsach	Doe	291	3.d		Tirol
Donnerskirchen	Sag H2	1778	3.d		Burgenland
Dorf a.d.Enns	Ern H1	384	3.d		Niederösterreich
Dorfgastein	Dg	275	3.d		Salzburg
Dornach	Gbk H1	561	3.d		Oberösterreich
Dornbirn	Do	285	3.b		Vorarlberg
Dornbirn-Schoren	Hos H2	887	3.c		Vorarlberg
Dreistetten	Pie H1	1706	3.d		Niederösterreich
Drösing	Drg	299	3.d		Niederösterreich
Dürnbach	Lf  H1	1202	3.d		Oberösterreich
Dürnberg	Puw H1	1786	3.d		Oberösterreich
Dürnkrut	Due	301	3.d		Niederösterreich
Dürrwien	Pm  H2	1720	3.d		Niederösterreich
Eben im Pongau	Ebn	307	3.d		Salzburg
Ebenfurth	Ef	325	3.d		Niederösterreich
Ebensee	En	363	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich	Oberösterreich
Ebensee Landungsplatz	En  H1	364	3.d		Oberösterreich
Eberschwang	Otg H4	390	3.d		Oberösterreich
Ebreichsdorf	Ebr	309	3.c		Niederösterreich
Edlitz-Grimmenstein	Edl	321	3.d		Niederösterreich
Eggenburg	Egg	336	3.d		Niederösterreich
Ehrenhausen	Rzn H1	1910	3.d		Steiermark
Ehrwald-Zugspitzbahn	Eh	340	3.d		Tirol
Eichberg	Eib	341	3.d		Niederösterreich
Eichgraben-Altlengbach	Rw  H1	1905	3.c		Niederösterreich
Eisenstadt	E	305	3.d		Burgenland
Eisenstadt Schule	Esu	389	3.d		Burgenland
Elsbethen	Aj  H2	27	3.d		Salzburg
Emmersdorf	Noe H1	1565	3.d		Kärnten
Enns	Ens	370	3.c		Oberösterreich
Ennsdorf	Sv  H1	2152	3.d		Niederösterreich
Enzersdorf bei Staatz	Enz	373	3.d		Niederösterreich
Enzesfeld-Lindabrunn	Ez	394	3.d		Niederösterreich
