8102328	Hatlerdorf
8101196	Hatting
8101471	Haus
8102462	Hausleiten
8102872	Hautzendorf
8105980	Heinfels
8102248	Heiterwang-Plansee
8102830	Helmahof
8103188	Hengsberg
8103192	Hennersdorf
8103907	Hermagor
8101252	Hernals
8101284	Herzogenburg
8101285	Herzogenburg Stadt
8102557	Herzogenburg-Wielandsthal
8101525	Herzograd
8102663	Hetzmannsdorf-Wullersdorf
8101449	Hieflau
8101433	Hilm-Kematen
8102966	Himberg
8102448	Hirschbach
8101327	Hirtenberg
8102656	Höbersdorf
8101153	Hochfilzen
8102225	Hochzirl
8102413	Höflein a.d.Donau
8102825	Hohenau
8103507	Hohenbrugg a.d.Raab
8102327	Hohenems
8102662	Hollabrunn
8101168	Hopfgarten
8101167	Hopfgarten Berglift
8102880	Hörersdorf
8102522	Horn
8101077	Hörsching
8102438	Hötzelsdorf-Geras
8101481	Hüttau Terminal
8101209	Imsterberg
8101206	Imst-Pitztal
8101187	Innsbruck Hbf
8102221	Innsbruck Hötting
8105987	Innsbruck Messe
8101189	Innsbruck Westbf
8101195	Inzing
8102440	Irnfritz
8103869	Irschen
8102822	Jedenspeigen
8102645	Jedlersdorf
8101176	Jenbach
8103508	Jennersdorf
8103007	Jois
8103615	Judenburg
8103169	Judendorf-Straßengel
8103182	Kaindorf a.d.Sulm
8101945	Kainisch
8101269	Kaiserebersdorf
8103177	Kalsdorf
8122305	Kaltenbrunnen
8101643	Kalwang
8101647	Kammern
8102866	Kapellerfeld
8103155	Kapfenberg
8105962	Kapfenberg Fachhochschule
8103628	Kappel am Krappfeld
8101442	Kastenreith
8101592	Katsdorf
8103271	Katzelsdorf
8101586	Kefermarkt
8101192	Kematen in Tirol
8101607	Kematen-Piberbach
8101731	Kimpling
8103151	Kindberg
8102467	Kirchberg am Wagram
8101163	Kirchberg in Tirol
8102181	Kirchbichl
8101618	Kirchdorf a.d.Krems
8101027	Kirchstetten
8103002	Kittsee
8101160	Kitzbühel
8101161	Kitzbühel Hahnenkamm
8103640	Klagenfurt Annabichl
8103819	Klagenfurt Ebenthal
8103642	Klagenfurt Hbf
8103645	Klagenfurt Lend
8103641	Klagenfurt Ostbf
8103842	Klagenfurt Süd
8105917	Klagenfurt West
8103138	Klamm-Schottwien
8102324	Klaus in Vorarlberg
8103864	Kleblach-Lind
8102963	Kledering
8101443	Kleinreifling
8102410	Klosterneuburg-Kierling
8102409	Klosterneuburg-Weidling
8103612	Knittelfeld
8102125	Kolbnitz
8102649	Korneuburg
8101108	Köstendorf Weng
8103120	Kottingbrunn
8102884	Kottingneusiedl
8103840	Köttmannsdorf Lambichl
8102223	Kranebitten
8103609	Kraubath
8101306	Kreisbach
8102474	Krems a.d.Donau
8101611	Kremsmünster
8101055	Krenstetten-Biberbach
8103148	Krieglach
8102412	Kritzendorf
8101432	Kröllendorf
8101254	Krottenbachstraße
8101043	Krummnußbaum
8103646	Krumpendorf
8103136	Küb
8101127	Kuchl
8101158	Kuchl Garnei
8102184	Kufstein
8101020	Kühnsdorf Klopeiner See
8101732	Kumpfmühl
8105677	Küpfern Haltestelle
8102885	Laa a.d.Thaya
8102875	Ladendorf
8102246	Lähn
8101534	Lahrndorf
8101086	Lambach
8101087	Lambach Markt
8101212	Landeck-Zams
8101223	Langen am Arlberg
8102418	Langenlebarn
8102512	Langenlois
8103147	Langenwang
8102647	Langenzersdorf
8102182	Langkampfen
8102964	Lanzendorf-Rannersdorf
8103301	Lanzenkirchen
8101585	Lasberg-St.Oswald
8103495	Laßnitzhöhe
8103496	Laßnitzthal
8101936	Lauffen
8103631	Launsdorf-Hochosterwitz
8105473	Lauterach
8105481	Lauterach Unterfeld
8103180	Lebring
8102141	Ledenitzen Ost
8103181	Leibnitz
8102226	Leithen
8101139	Lend
8103861	Lendorf
8102651	Leobendorf-Burg Kreuzenstein
8103603	Leoben Hbf
8103604	Leoben Lerchenfeld
8103121	Leobersdorf
8101150	Leogang
8101149	Leogang-Steinberge
8101075	Leonding
8102808	Leopoldau
8102245	Lermoos
8103873	Lienz
8103874	Lienz-Peggetz
8103110	Liesing
8101459	Liezen
8102430	Limberg-Maissau
8103651	Lind-Rosegg
8101067	Linz Ebelsberg
8101073	Linz Hbf
8101591	Linz Oed
8101066	Linz Pichling
8101661	Linz Urfahr
8101600	Linz Wegscheid
8102339	Lochau-Hörbranz
8103504	Lödersdorf
8103277	Loipersbach-Schattendorf
8101040	Loosdorf
8134044	Lorüns
8101538	Losenstein
8101232	Ludesch
8101593	Lungitz
8102352	Lustenau
8101146	Maishofen-Saalbach
8102121	Mallnitz-Obervellach
8102922	Mannswörth
8102899	Marchegg
8101079	Marchtrenk
8101022	Maria Anzbach
8102928	Maria Ellend
8103620	Mariahof-St.Lambrecht
8103843	Maria Rain
8103639	Maria Saal
8101038	Markersdorf a.d.Pielach
8102132	Markt Paternion
8103863	Markt Sachsenburg
8103276	Marz-Rohrbach
8102263	Matrei
8103275	Mattersburg
8103270	Mattersburg Nord
8102047	Mattighofen
8102050	Mauerkirchen
8101053	Mauer-Öhling
8101646	Mautern
8101523	Mauthausen
8101041	Melk
8103624	Micheldorf-Hirt
8101294	Michelhausen
8101794	Mining
8102877	Mistelbach
8105507	Mistelbach Stadt
8101135	Mitterberghütten
8103149	Mitterdorf-Veitsch
8103876	Mittewald a.d.Drau
8103823	Mittlern
8103162	Mixnitz-Bärenschützklamm
8103113	Mödling
8103510	Mogersdorf
8103862	Möllbrücke-Sachsenburg
8101291	Moosbierbaum-Heiligeneich
8101201	Mötz
8102417	Muckendorf-Wipfing
8102126	Mühldorf-Möllbrücke
8103194	Münchendorf
8102046	Munderfing
8101175	Münster-Wiesing
8103144	Mürzzuschlag
8102253	Musau
8105965	Nendeln
8101233	Nenzing
8101604	Nettingsdorf
8102874	Neubau-Kreuzstetten
8103005	Neudorf
8103272	Neudörfl
8103660	Neuhaus a.d.Gail
8101606	Neuhofen a.d.Krems
